
---------- Begin Simulation Statistics ----------
sim_seconds                                  4.976971                       # Number of seconds simulated
system.mem_ctrls0.rdQLenPdf::21                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::22                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::23                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::24                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::25                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::26                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::27                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::28                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::29                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::30                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::31                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::0                      2                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::1                      2                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::2                      2                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::3                      2                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::4                      2                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::5                      2                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::6                      2                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::7                      2                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::8                      2                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::9                      2                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::10                     2                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::11                     2                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::12                     2                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::13                     2                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::14                     2                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::15                381757                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::16                405468                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::17                692342                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::18                757051                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::19                770273                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::20                772335                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::21                772762                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::22                784189                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::23                783636                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::24                775362                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::25                782881                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::26                776837                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::27                772971                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::28                783430                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::29                771927                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::30                766841                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::31                764832                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::32                764574                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::33                  1690                       # What write queue length does an incoming req see
