
---------- Begin Simulation Statistics ----------
sim_seconds                                  2.720493                       # Number of seconds simulated
system.mem_ctrls0.wrQLenPdf::14                     2                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::15                 90155                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::16                 95869                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::17                171587                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::18                184515                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::19                187207                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::20                187581                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::21                187494                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::22                187357                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::23                187199                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::24                187220                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::25                187230                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::26                187310                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::27                187955                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::28                188847                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::29                189883                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::30                189780                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::31                186047                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::32                185708                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::33                   358                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::34                   119                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::35                    51                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::36                    27                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::37                    18                       # What write queue length does an incoming req see
